accelerator_type,allow_download,backend,benchmark_wall_time_sec,capacity_tokens_per_sec,case_name,cce_enabled,cce_loop_count,cce_profiler_experiment_id,chips,chunk_configuration,chunk_loop_count,compile_time_estimate_method,compile_time_sec,dataset_mode,device_count,dstack_gpu_spec,elapsed_sec,enable_gemma4_hf_loader,error_message,experiment_id,failure_type,final_loss,first_step_time_sec,fsdp_degree,global_batch_size,google_tunix_version,hardware_role,hardware_target,hidden_size,hostname,hostname_manifest,jax_version,learning_rate,log_path,lora_alpha,lora_rank,loss_impl,max_inflight,max_steps,mean_loss,measured_step_count,measured_steps,measured_time_sec,median_step_time_sec,mesh_configuration,model_download_path,model_id,model_name,model_path,model_size,model_source,num_examples,p95_step_time_sec,preset,profiler_enabled,profiler_path,repeat_index,returncode,run_dir,run_id,runtime_hbm_headroom_gb,runtime_hbm_limit_gb,runtime_hbm_peak_gb,scenario_group,seed,sequence_length,shape,signature_label,source,source_log_path,status,steady_state_mean_step_time_sec,steps_recorded,summary_hostname,summary_mean_step_time_sec_excl_first,summary_tpu_name,summary_tpu_zone,summary_valid_tokens_per_sec_excl_first,timestamp,timestamp_manifest,token_chunk,token_loop_count,tokenizer_path,tokenizer_source,tokens_per_sec,tp_degree,tpu_type,tpu_worker_id,tpu_worker_id_manifest,tunix_accel_version,vocab_chunk,vocab_loop_count,vocab_size,warmup_steps,workload_description,workload_family,workload_runner,xla_dir,xla_planned_hbm_gib_per_chip,xla_report_path
A100-80GB,,gpu,,,exp0004_gpu-a100-80gb-4_chunked_matmul_loop_bad_fsdp2_tp2_tc128_vc8192_r0,False,,,,128/8192,2048,,,,4,,,,,4,,,,2,16,,,gpu-a100-80gb-4,320,dstack-gcp-a100-worker,,,,,,,,,,,,10,,0.052492001399997434,"fsdp=2,tp=2",,,synthetic,,,,,0.052492001399997434,pilot,,,0,0,,mesh-pathology-gpu-a100-80gb-4-spot2,,,,gpu-a100-80gb-4/chunked_matmul_loop,,512,b16/L512,bad,dstack_console_log_reconstruction,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_a100_dstack/dstack_run.log,success,0.052492001399997434,,,,,,,2026-06-15T16:16:15+00:00,2026-06-15T16:16:15+00:00,128,64,,,156061.87193312848,2,,,,,8192,32,262144,3,,chunked_matmul_loop,jax_microbench,,,
A100-80GB,,gpu,,,exp0005_gpu-a100-80gb-4_chunked_matmul_loop_good_fsdp2_tp2_tc512_vc65536_r0,False,,,,512/65536,64,,,,4,,,,,5,,,,2,16,,,gpu-a100-80gb-4,320,dstack-gcp-a100-worker,,,,,,,,,,,,10,,0.01953531460000022,"fsdp=2,tp=2",,,synthetic,,,,,0.01953531460000022,pilot,,,0,0,,mesh-pathology-gpu-a100-80gb-4-spot2,,,,gpu-a100-80gb-4/chunked_matmul_loop,,512,b16/L512,good,dstack_console_log_reconstruction,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_a100_dstack/dstack_run.log,success,0.01953531460000022,,,,,,,2026-06-15T16:16:15+00:00,2026-06-15T16:16:15+00:00,512,16,,,419343.1315408613,2,,,,,65536,4,262144,3,,chunked_matmul_loop,jax_microbench,,,
A100-80GB,,gpu,,,exp0006_gpu-a100-80gb-4_chunked_matmul_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0,False,,,,128/8192,2048,,,,4,,,,,6,,,,4,16,,,gpu-a100-80gb-4,320,dstack-gcp-a100-worker,,,,,,,,,,,,10,,0.05197344449999832,"fsdp=4,tp=1",,,synthetic,,,,,0.05197344449999832,pilot,,,0,0,,mesh-pathology-gpu-a100-80gb-4-spot2,,,,gpu-a100-80gb-4/chunked_matmul_loop,,512,b16/L512,control-fsdp4-tp1,dstack_console_log_reconstruction,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_a100_dstack/dstack_run.log,success,0.05197344449999832,,,,,,,2026-06-15T16:16:15+00:00,2026-06-15T16:16:15+00:00,128,64,,,157618.95481066807,1,,,,,8192,32,262144,3,,chunked_matmul_loop,jax_microbench,,,
A100-80GB,,gpu,,,exp0007_gpu-a100-80gb-4_chunked_matmul_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0,False,,,,128/8192,2048,,,,4,,,,,7,,,,1,16,,,gpu-a100-80gb-4,320,dstack-gcp-a100-worker,,,,,,,,,,,,10,,0.05143196330000137,"fsdp=1,tp=4",,,synthetic,,,,,0.05143196330000137,pilot,,,0,0,,mesh-pathology-gpu-a100-80gb-4-spot2,,,,gpu-a100-80gb-4/chunked_matmul_loop,,512,b16/L512,control-fsdp1-tp4,dstack_console_log_reconstruction,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_a100_dstack/dstack_run.log,success,0.05143196330000137,,,,,,,2026-06-15T16:16:15+00:00,2026-06-15T16:16:15+00:00,128,64,,,159278.3839927764,4,,,,,8192,32,262144,3,,chunked_matmul_loop,jax_microbench,,,
A100-80GB,,gpu,,,exp0008_gpu-a100-80gb-4_collective_loop_bad_fsdp2_tp2_tc128_vc8192_r0,False,,,,128/8192,2048,,,,4,,,,,8,,,,2,16,,,gpu-a100-80gb-4,320,dstack-gcp-a100-worker,,,,,,,,,,,,10,,0.13136096299999167,"fsdp=2,tp=2",,,synthetic,,,,,0.13136096299999167,pilot,,,0,0,,mesh-pathology-gpu-a100-80gb-4-spot2,,,,gpu-a100-80gb-4/collective_loop,,512,b16/L512,bad,dstack_console_log_reconstruction,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_a100_dstack/dstack_run.log,success,0.13136096299999167,,,,,,,2026-06-15T16:16:15+00:00,2026-06-15T16:16:15+00:00,128,64,,,62362.51480586755,2,,,,,8192,32,262144,3,,collective_loop,jax_microbench,,,
A100-80GB,,gpu,,,exp0009_gpu-a100-80gb-4_collective_loop_good_fsdp2_tp2_tc512_vc65536_r0,False,,,,512/65536,64,,,,4,,,,,9,,,,2,16,,,gpu-a100-80gb-4,320,dstack-gcp-a100-worker,,,,,,,,,,,,10,,0.036154212700006384,"fsdp=2,tp=2",,,synthetic,,,,,0.036154212700006384,pilot,,,0,0,,mesh-pathology-gpu-a100-80gb-4-spot2,,,,gpu-a100-80gb-4/collective_loop,,512,b16/L512,good,dstack_console_log_reconstruction,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_a100_dstack/dstack_run.log,success,0.036154212700006384,,,,,,,2026-06-15T16:16:15+00:00,2026-06-15T16:16:15+00:00,512,16,,,226584.93680872087,2,,,,,65536,4,262144,3,,collective_loop,jax_microbench,,,
A100-80GB,,gpu,,,exp0010_gpu-a100-80gb-4_collective_loop_control-fsdp4-tp1_fsdp4_tp1_tc128_vc8192_r0,False,,,,128/8192,2048,,,,4,,,,,10,,,,4,16,,,gpu-a100-80gb-4,320,dstack-gcp-a100-worker,,,,,,,,,,,,10,,0.027945437099992886,"fsdp=4,tp=1",,,synthetic,,,,,0.027945437099992886,pilot,,,0,0,,mesh-pathology-gpu-a100-80gb-4-spot2,,,,gpu-a100-80gb-4/collective_loop,,512,b16/L512,control-fsdp4-tp1,dstack_console_log_reconstruction,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_a100_dstack/dstack_run.log,success,0.027945437099992886,,,,,,,2026-06-15T16:16:15+00:00,2026-06-15T16:16:15+00:00,128,64,,,293142.668360771,1,,,,,8192,32,262144,3,,collective_loop,jax_microbench,,,
A100-80GB,,gpu,,,exp0011_gpu-a100-80gb-4_collective_loop_control-fsdp1-tp4_fsdp1_tp4_tc128_vc8192_r0,False,,,,128/8192,2048,,,,4,,,,,11,,,,1,16,,,gpu-a100-80gb-4,320,dstack-gcp-a100-worker,,,,,,,,,,,,10,,0.1346470770000053,"fsdp=1,tp=4",,,synthetic,,,,,0.1346470770000053,pilot,,,0,0,,mesh-pathology-gpu-a100-80gb-4-spot2,,,,gpu-a100-80gb-4/collective_loop,,512,b16/L512,control-fsdp1-tp4,dstack_console_log_reconstruction,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_a100_dstack/dstack_run.log,success,0.1346470770000053,,,,,,,2026-06-15T16:16:15+00:00,2026-06-15T16:16:15+00:00,128,64,,,60840.53350819994,4,,,,,8192,32,262144,3,,collective_loop,jax_microbench,,,
A100-80GB,,gpu,,,exp0012_gpu-a100-80gb-4_projection_collective_loop_bad_fsdp2_tp2_tc128_vc8192_r0,False,,,,128/8192,2048,,,,4,,,,,12,,,,2,16,,,gpu-a100-80gb-4,320,dstack-gcp-a100-worker,,,,,,,,,,,,10,,0.17419598669999345,"fsdp=2,tp=2",,,synthetic,,,,,0.17419598669999345,pilot,,,0,0,,mesh-pathology-gpu-a100-80gb-4-spot2,,,,gpu-a100-80gb-4/projection_collective_loop,,512,b16/L512,bad,dstack_console_log_reconstruction,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_a100_dstack/dstack_run.log,success,0.17419598669999345,,,,,,,2026-06-15T16:16:15+00:00,2026-06-15T16:16:15+00:00,128,64,,,47027.4898704099,2,,,,,8192,32,262144,3,,projection_collective_loop,jax_microbench,,,
A100-80GB,,gpu,,,exp0013_gpu-a100-80gb-4_projection_collective_loop_good_fsdp2_tp2_tc512_vc65536_r0,False,,,,512/65536,64,,,,4,,,,,13,,,,2,16,,,gpu-a100-80gb-4,320,dstack-gcp-a100-worker,,,,,,,,,,,,10,,0.045363866899998585,"fsdp=2,tp=2",,,synthetic,,,,,0.045363866899998585,pilot,,,0,0,,mesh-pathology-gpu-a100-80gb-4-spot2,,,,gpu-a100-80gb-4/projection_collective_loop,,512,b16/L512,good,dstack_console_log_reconstruction,/Users/deep-diver/Developers/TUNIX-TRY/01-CCE/data/mesh_pathology_a100_dstack/dstack_run.log,success,0.045363866899998585,,,,,,,2026-06-15T16:16:15+00:00,2026-06-15T16:16:15+00:00,512,16,,,180584.25261802925,2,,,,,65536,4,262144,3,,projection_collective_loop,jax_microbench,,,
